event,file_event,lam,prt_index,lam_pdg,lam_mom_x,lam_mom_y,lam_mom_z,lam_endpoint_x,lam_endpoint_y,lam_endpoint_z
2340,2339,0,4,3122,-1.0136321783065796,-0.1095624566078186,39.718101501464844,-113.6631355973959,-12.305976018449439,4418.021670166384
2347,2346,0,4,3122,-0.9805476069450378,0.1470087468624115,39.76811599731445,-126.2370013012235,18.899086284237654,5172.653738475544
2349,2348,0,4,3122,-1.1180243492126465,0.08715774863958359,39.94227981567383,-114.47721188492423,8.98609879339121,4174.232472689599
2361,2360,0,4,3122,-1.0915502309799194,-0.027112288400530815,38.88066482543945,-129.22479862219075,-3.1894131254073805,4634.593105935127
2363,2362,0,4,3122,-1.0424083471298218,0.008620433509349823,38.55922317504883,-264.57079414199393,2.181501514459173,9734.276220047897
2364,2363,0,4,3122,-0.9515246152877808,0.05152770131826401,38.38756561279297,-102.69358112301532,5.541336357300329,4184.5515643397775
2369,2368,0,4,3122,-1.0369282960891724,-0.029411358758807182,39.45018768310547,-169.28816691765996,-4.827049077214179,6426.871182810873
2370,2369,0,4,3122,-1.0716558694839478,-0.09191039204597473,40.47226333618164,-130.07815680811936,-11.188518458105294,4899.115089246001
2375,2374,0,4,3122,-1.0548187494277954,-0.03018094040453434,40.40081787109375,-88.91761425484339,-2.5386150748118723,3473.36002606713
2376,2375,0,4,3122,-0.9085925221443176,-0.12518170475959778,39.39662551879883,-87.19190802744406,-11.992220337919061,3849.1384977201233
2378,2377,0,4,3122,-1.0329594612121582,-0.17148059606552124,40.302879333496094,-175.49116407791075,-29.143841397419376,6861.641333747911
2379,2378,0,4,3122,-0.9736257791519165,-0.11180952936410904,40.98721694946289,-81.19701930102984,-9.355786676408092,3438.0763525437224
2381,2380,0,4,3122,-0.9335845708847046,-0.1352342665195465,40.229549407958984,-123.37881449110183,-17.84959048281791,5253.36947973482
2382,2381,0,4,3122,-0.9966534972190857,0.01143717486411333,39.56840515136719,-127.69019218894479,1.4771170640328373,5071.377478850915
2384,2383,0,4,3122,-0.8177939057350159,-0.01574292592704296,39.96699523925781,-127.07024043832294,-2.4470097943863918,6272.4330279511405
2385,2384,0,4,3122,-0.9577687382698059,-0.01096920482814312,37.83396911621094,-149.27965173627757,-1.703483803663351,5899.731570800902
2388,2387,0,4,3122,-1.1266337633132935,0.08974549919366837,39.61691665649414,-196.276509286393,15.632162770725602,6869.380077348957
2389,2388,0,4,3122,-0.9951227903366089,-0.036947429180145264,40.5263786315918,-229.99171021158838,-8.547327176758017,9357.633837585921
2390,2389,0,4,3122,-0.9822631478309631,0.04451595991849899,40.820587158203125,-85.97946383956646,3.926316066434608,3604.307408325681
2391,2390,0,4,3122,-0.9803924560546875,-0.162776380777359,39.95613098144531,-115.14957292451025,-19.18374542194687,4752.947273355812
