event,file_event,lam,prt_index,lam_pdg,lam_mom_x,lam_mom_y,lam_mom_z,lam_endpoint_x,lam_endpoint_y,lam_endpoint_z,neut_pdg,neut_mom_x,neut_mom_y,neut_mom_z,neut_endpoint_x,neut_endpoint_y,neut_endpoint_z,pizero_pdg,pizero_mom_x,pizero_mom_y,pizero_mom_z,pizero_endpoint_x,pizero_endpoint_y,pizero_endpoint_z
5541,540,0,4,3122,-1.0410808324813843,-0.012114617973566055,38.28669357299805,-10.694911431005046,-0.15744916249044638,356.1868708951425,2112,-0.9654960036277771,-0.08113211393356323,35.037628173828125,-988.1221545260894,-82.0393085596311,35837.555524098985,111,-0.07558485865592957,0.06901749223470688,3.24906587600708,-10.694919344836471,-0.15744193627048655,356.1872110764986
5544,543,0,4,3122,-0.8757345676422119,0.056932125240564346,38.28284454345703,-14.87298714409972,0.9749147887133532,646.2092942325572,2112,-0.7833126783370972,0.14795857667922974,33.15478515625,-156.04448808183267,27.64055568451734,6621.486937582035,111,-0.09242186695337296,-0.09102645516395569,5.1280598640441895,-14.872990866109625,0.9749111228995816,646.2095007495838
5549,548,0,4,3122,-0.9583724141120911,0.054898083209991455,39.472694396972656,-4.965997293243878,0.30811475508179165,184.30967600680185,2112,-0.7528244256973267,0.13667301833629608,33.032169342041016,-814.7114436610533,147.31496514625783,35714.03781884154,111,-0.2055479735136032,-0.08177492767572403,6.44052791595459,-4.96605058342632,0.3080935541874589,184.31134577221746
5556,555,0,4,3122,-0.9447645545005798,0.05518287047743797,39.83333969116211,-8.414354288605375,0.4986268687813011,397.9679325814935,2112,-0.8961970806121826,0.08571700006723404,37.222965240478516,-861.4183632851888,82.07758664108935,35820.390946514904,111,-0.04856749251484871,-0.030534127727150917,2.6103739738464355,-8.414365303510541,0.49861994376815805,397.9685246034349
5562,561,0,4,3122,-0.9777805209159851,-0.00389290158636868,39.812828063964844,-75.5726756520246,-0.30390130408155147,3094.8892095764213,2112,-0.8891207575798035,0.08807699382305145,35.29655456542969,-901.032862145294,81.46682849798317,35864.23032117671,111,-0.08865980803966522,-0.09196989238262177,4.516274452209473,-75.57270249035479,-0.30392914441235147,3094.8905767039882
5563,562,0,4,3122,-0.8875278830528259,0.007991593331098557,40.33676528930664,-31.18307079866831,0.3075114791754359,1393.8114268381437,2112,-0.6422117352485657,0.05861939862370491,32.98701477050781,-117.17204816153692,8.156359068731676,5810.609496913021,111,-0.24531616270542145,-0.050627805292606354,7.349753379821777,-31.183090001998558,0.30750751603493254,1393.8120021762593
5564,563,0,4,3122,-1.1015866994857788,0.003981262445449829,40.19540023803711,-24.624161503868002,0.10682296755772641,898.8814431778363,2112,-0.949065625667572,-0.014757504686713219,31.73162078857422,-880.2757072254776,-24.562405062221206,35803.98350955784,111,-0.15252113342285156,0.018738767132163048,8.463780403137207,-24.62416442380624,0.10682332630174235,898.8816052125354
5567,566,0,4,3122,-0.9760946035385132,-0.17648905515670776,40.1801643371582,-50.11909640381362,-9.04617585744359,2064.8849179632034,2112,-0.9232425689697266,-0.20989972352981567,34.5055046081543,-180.3893483679695,-38.66319103327054,6933.638767668257,111,-0.052852027118206024,0.03341067582368851,5.6746602058410645,-50.11909797186599,-9.046174866191354,2064.8850863231532
5568,567,0,4,3122,-0.9613418579101562,-0.09371062368154526,38.66475296020508,-58.49299380949847,-5.718537109464394,2329.274792373838,2112,-0.6803836226463318,-0.054679181426763535,30.184898376464844,-674.8406004743109,-55.25145095589237,29673.24551840558,111,-0.28095823526382446,-0.03903144225478172,8.479853630065918,-58.49302325715117,-5.718541200408261,2329.2756811599515
5583,582,0,4,3122,-1.0460315942764282,-0.045241065323352814,40.52800750732422,-41.5663892314339,-1.8124091566423752,1576.2919582035383,2112,-0.8752123117446899,0.04224972799420357,32.34409713745117,-977.4288964528536,43.7366695313901,36187.88458203029,111,-0.17081934213638306,-0.08749079704284668,8.183910369873047,-41.56640646352538,-1.8124179826298645,1576.2927837885766
